Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs (£),,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs (£),,,Grand Total paybill/staffing (payroll and non-payroll) costs (£),Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary (£),Allowances (£),Non-consolidated performance payments (£),Overtime (£),Employer pension contributions (£),Employer national insurance contributions (£),Total paybill for payroll staff (£),"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors (£)","Total cost of consultants/
consultancy (£)",Total non-payroll (CCL) staff costs (£),,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advantage West Midlands,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
Advisory Concilliation & Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation & Skills",99,83.9,231,214.51,519,474.7,40,37.9,3,2.88,2,1.3,894,815,6,6,0,0,0,0,1,0.25,7,6.25,901,821,"2,050,101.00","17,275.00",,"5,906.00","373,132.00","161,095.00","2,607,509.00","10,991.00","6,375.00","17,366.00","2,624,875.00",
Arts & Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",5,4.4,29,27,34,32.8,11,10.3,4,4,,,83,79,,,,,3,3,,,3,3,86,82,"198,825.00","1,181.00",521,1,"44,688.00","17,500.00","262,716.00","19,825.00",,"19,825.00","282,541.00",
Biotechnology & Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",349,255.68,451,407.14,912,873.99,216,208.22,46,43.07,18,18,"1,992","1,806",34,32.3,0,0,10,10,14,10.3,58,52.6,"2,050","1,859","4,903,701.67","167,367.68","11,601.00","48,914.70","1,245,341.56","400,535.06","6,777,461.67",,,0,"6,777,461.67",
British Hallmarking Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,
"Business, Innovation & Skills (inc UKTI)",Ministerial Department,"Department for Business, Innovation & Skills",241,227.75,351,334.22,946,919.84,912,876.3,191,184.25,0,0,"2,641","2,542",67,67,33,33,61,61,96,96,257,257,"2,898","2,799","8,527,521.00","206,496.00",593,"39,936.00","1,781,827.00","785,161.00","11,341,534.00",,"444,871.00","444,871.00","11,786,405.00",
Capital for Enterprise Limited,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,4,3.81,4,4,6,5.75,7,3.55,,,22,18,,,,,4,4,,,4,4,26,22,"88,715.00",500,,,"17,669.00","8,819.00","115,703.00","23,761.00",,"23,761.00","139,464.00",
Companies House,Executive Agency,"Department for Business, Innovation & Skills",659,578.37,271,256.34,136,132.49,26,24.58,4,4,,,"1,096",996,1,1,,,,,2,2,3,3,"1,099",999,"2,013,949.41","140,174.61",,"8,663.33","365,221.41","152,408.36","2,680,417.12",,,0,"2,680,417.12",
Competition Commission,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",5,5,17,16.44,31,31,52,50.5,18,17.73,0,0,123,121,6,6,2,2,0,0,0,0,8,8,131,129,"475,917.00",,"3,000.00",,"100,740.00","54,003.00","633,660.00","15,947.00",,"15,947.00","649,607.00",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",4,4,2,1.8,4,3.6,4,4,1,1,0,0,15,14,,,,,,,,,0,0,15,14,"52,942.55",,,,"11,117.53","4,922.78","68,982.86",,,0,"68,982.86",
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",363,330.37,661,646.54,223,220.06,26,26,7,7,0,0,"1,280","1,230",90,67.4,1,0.7,83,62.1,3,2.2,177,132.4,"1,457","1,362","3,016,307.88","289,226.02",,"19,383.55","191,854.69","260,324.92","3,777,097.06",,,0,"3,777,097.06",
Consumer Focus,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",39,37.5,20,19.3,65,61.2,24,23,3,3,0,0,151,144,2,2,4,3.8,0,0,3,0.3,9,6.1,160,150,"462,510.22",,,,"83,058.87","38,236.80","583,805.89","33,491.00",,"33,491.00","617,296.89",
Design Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,,,,.,.,
East Midlands Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,.,.
East of England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,.,,,.,.
Economic & Social Reseach Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",23,19.6,26,22.4,66,56.6,18,17.4,4,4,0,0,137,120,1,1,0,0,1,1,0,0,2,2,139,122,"312,467.83","3,537.58",,288,"79,398.36","23,894.15","419,585.92","7,547.90",,"7,547.90","427,133.82"
Engineering & Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",50,48.3,35,33.19,133,126.51,37,34.49,4,4,0,0,259,246,0,0,0,0,8,8,0,0,8,8,267,254,"653,220.70","5,379.08","101,750.00","2,067.25","169,837.40","78,013.59","1,010,268.02",,"74,807.04","74,807.04","1,085,075.06"
Engineering Construction Industry Training  Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",30,27,29,28,20,20,,,,,9,4,88,79,1,1,,,,,,,1,1,89,80,"225,092.00","8,072.00",,"1,159.00","45,770.00","20,425.00","300,518.00","1,025.00",,"1,025.00","301,543.00"
Film Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,,,,,.,,,.,.
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",7,4.83,36,30.02,174,157.91,43,42.31,5,4.4,,,265,239,5,4.2,,,,,1,0.2,6,4.4,271,244,"735,060.15","3,670.75",,"1,130.50","145,212.34","64,159.71","949,233.45","7,081.92","9,174.00","16,255.92","965,489.37"
Insolvency Service,Executive Agency,"Department for Business, Innovation & Skills",783,729.52,419,398.4,827,800.83,95,93.85,5,4.8,,,"2,129","2,027",130,130,,,34,34,,,164,164,"2,293","2,191","4,598,129.13","38,833.45",0,"1,806.43","872,778.94","347,592.38","5,859,140.33","526,169.64",,"526,169.64","6,385,309.97"
Local Better Regulation Office,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1,1,3,3,9,8.2,10,9.9,4,4,,,27,26,0,0,1,0.7,10,2,0,0,11,2.7,38,29,"87,662.42",,,,"17,466.78","6,903.41","112,032.61",,,0,"112,032.61"
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",414,367.27,623,586.63,1718,1656.5,268,261.74,55,51.85,138,82.87,"3,216","3,007",25,24.5,5,3,8,8,10,8.76,48,44.26,"3,264","3,051","9,162,283.13","452,981.62",,"32,635.85",,,"9,647,900.60",,,0,"9,647,900.60"
"National Endowment for Science, Technology and the Arts",Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
National Measurement Office,Executive Agency,"Department for Business, Innovation & Skills",7,6,11,10.53,34,33.1,17,16.1,1,1,,,70,67,1,1,,,,,,,1,1,71,68,"208,597.00",59,,,"41,362.00","18,000.00","268,018.00",,,0,"268,018.00"
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",293,262,435,414,1064,1017,450,431,64,62,207,206,"2,513","2,392",12,12,0,0,5,5,2,2,19,19,"2,532","2,411","6,221,304.05","155,627.22","142,323.74","31,060.73","1,703,821.87","53,954.91","8,308,092.52","74,460.79","231,752.08","306,212.87","8,614,305.39"
North West Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
One North East,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..
Postal Services Commission,Non-Ministerial Department,"Department for Business, Innovation & Skills",3,2,11,9.15,15,14.8,20,17.2,10,6.1,0,0,59,49,2,2,6,5.5,1,1,0,0,9,8.5,68,58,"209,166.01",,"6,159.06",,"39,986.55","20,480.87","275,792.49","75,846.00",,"75,846.00","351,638.49",
Science & Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
Skills Funding Agency,Executive Agency,"Department for Business, Innovation & Skills",170,161.8554054,583,562.5797297,623,606.2013514,158,157.472973,53,52.20540541,26,24.09459459,"1,613","1,564",12,12,,,108,108,,,120,120,"1,733","1,684","5,228,722.97","168,884.86",0,"1,293.58","1,057,332.40","505,099.69","6,961,333.50","228,282.00",,"228,282.00","7,189,615.50",
South East England Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
South West of England Regional Development Agency,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",1427,1319.8,558,529.96,83,80.53333,9,9,8,8,7,1.04,"2,092","1,948",155,155,0,0,25,25,3,3,183,183,"2,275","2,131","3,485,161.96","71,067.60","13,356.83","253,174.04","270,577.50","294,766.63","4,388,104.56","240,477.00","40,799.00","281,276.00","4,669,380.56",
Technology Strategy Board,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
UK Commission for Employment & Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation & Skills",255,224.76,206,197.15,197,190.99,217,204.55,25,25,,,900,842,1,1,,,15,15,,,16,16,916,858,"2,084,854.00","74,741.00","3,467.00","30,762.00","433,161.00","170,872.00","2,797,857.00","397,335.00","1,260.00","398,595.00","3,196,452.00",
UK Space Agency,Executive Agency,"Department for Business, Innovation & Skills",1,1,5,5,10,9.6,13,12.8,4,4,,,33,32,,,,,1,1,,,1,1,34,33,"46,514.00",,,,"9,244.00","4,436.00","60,194.00","4,000.00",,"4,000.00","64,194.00",
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",60,55.66,75,71.15,295,290.96,102,99.9,10,9.6,16,16,558,543,6,6,0,0,380,380,0,0,386,386,944,929,"1,753,337.00",,"62,171.00","43,829.00","270,277.00","167,547.00","2,297,161.00","1,320,497.00",,"1,320,497.00","3,617,658.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Yorkshire Forward,Executive Non-Departmental Public Body,"Department for Business, Innovation & Skills",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,..,,,..,..,
