Parent Department,Organisation,Unit,Reporting SCS post reference,Reporting SCS Post title,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,34860,Head ISS Commercial  ,B1,,,Commercial Information System Services,2
,,,,,B2,,,Commercial Information System Services,5
,,,,,C1,,,Commercial Information System Services,18
,,,,,C2,,,Commercial Information System Services,7
,,,,,D,,,Commercial Information System Services,7
,,,,,E1,,,Commercial Information System Services,7
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,31698,Head ISS Internal Service Provider,B1,,,Information System Services Internal Service Provider,2
,,,,,B2,,,Information System Services Internal Service Provider,7
,,,,,C1,,,Information System Services Internal Service Provider,24
,,,,,C2,,,Information System Services Internal Service Provider,95
,,,,,D,,,Information System Services Internal Service Provider,179
,,,,,E1,,,Information System Services Internal Service Provider,185
,,,,,SZ1,,,Information System Services Internal Service Provider,1
,,,,,SZ3,,,Information System Services Internal Service Provider,4
,,,,,SZ4,,,Information System Services Internal Service Provider,3
,,,,,Commander,,,Information System Services Internal Service Provider,1
,,,,,Lt Commander,,,Information System Services Internal Service Provider,1
,,,,,Lieutenant,,,Information System Services Internal Service Provider,1
,,,,,Sub Lieutenant,,,Information System Services Internal Service Provider,1
,,,,,Other Rank,,,Information System Services Internal Service Provider,74
,,,,,Lt Colonel,,,Information System Services Internal Service Provider,1
,,,,,Major,,,Information System Services Internal Service Provider,3
,,,,,Captain,,,Information System Services Internal Service Provider,8
,,,,,Other Rank,,,Information System Services Internal Service Provider,67
,,,,,Group Captain,,,Information System Services Internal Service Provider,1
,,,,,Squadron Leader,,,Information System Services Internal Service Provider,3
,,,,,Flt Lieutenant,,,Information System Services Internal Service Provider,4
,,,,,Other Rank,,,Information System Services Internal Service Provider,147
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,188627,Head Office of Chief Information Officer,B1,,,Office of Chief Information Officer,2
,,,,,B2,,,Office of Chief Information Officer,3
,,,,,C1,,,Office of Chief Information Officer,13
,,,,,C2,,,Office of Chief Information Officer,15
,,,,,D,,,Office of Chief Information Officer,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,152721,Head ISS Change,B1,,,Information System Services Change,3
,,,,,B2,,,Information System Services Change,8
,,,,,C1,,,Information System Services Change,13
,,,,,C2,,,Information System Services Change,23
,,,,,D,,,Information System Services Change,16
,,,,,E1,,,Information System Services Change,19
,,,,,Other Rank,,,Information System Services Change,1
,,,,,Colonel,,,Information System Services Change,1
,,,,,Major,,,Information System Services Change,1
,,,,,Other Rank,,,Information System Services Change,5
,,,,,Group Captain,,,Information System Services Change,1
,,,,,Wing Commander,,,Information System Services Change,2
,,,,,Flt Lieutenant,,,Information System Services Change,1
,,,,,Other Rank,,,Information System Services Change,9
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,33011,Head Defence Information Infrastructure,B1,,,Defence Information Infrastructure,7
,,,,,B2,,,Defence Information Infrastructure,34
,,,,,C1,,,Defence Information Infrastructure,126
,,,,,C2,,,Defence Information Infrastructure,188
,,,,,D,,,Defence Information Infrastructure,38
,,,,,E1,,,Defence Information Infrastructure,19
,,,,,Captain,,,Defence Information Infrastructure,2
,,,,,Commander,,,Defence Information Infrastructure,2
,,,,,Lt Commander,,,Defence Information Infrastructure,4
,,,,,Lieutenant,,,Defence Information Infrastructure,1
,,,,,Sub Lieutenant,,,Defence Information Infrastructure,1
,,,,,Other Rank,,,Defence Information Infrastructure,8
,,,,,Colonel,,,Defence Information Infrastructure,1
,,,,,Lt Colonel,,,Defence Information Infrastructure,4
,,,,,Major,,,Defence Information Infrastructure,8
,,,,,Other Rank,,,Defence Information Infrastructure,10
,,,,,Group Captain,,,Defence Information Infrastructure,1
,,,,,Wing Commander,,,Defence Information Infrastructure,1
,,,,,Squadron Leader,,,Defence Information Infrastructure,4
,,,,,Flt Lieutenant,,,Defence Information Infrastructure,2
,,,,,Flying Officer,,,Defence Information Infrastructure,2
,,,,,Other Rank,,,Defence Information Infrastructure,164
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,2497,Head of ISS Networks,B1,,,Information System Services Networks,5
,,,,,B2,,,Information System Services Networks,17
,,,,,C1,,,Information System Services Networks,79
,,,,,C2,,,Information System Services Networks,68
,,,,,D,,,Information System Services Networks,48
,,,,,E1,,,Information System Services Networks,38
,,,,,SZ2,,,Information System Services Networks,6
,,,,,Captain,,,Information System Services Networks,3
,,,,,Commander,,,Information System Services Networks,9
,,,,,Lt Commander,,,Information System Services Networks,20
,,,,,Lieutenant,,,Information System Services Networks,13
,,,,,Sub Lieutenant,,,Information System Services Networks,4
,,,,,Other Rank,,,Information System Services Networks,5
,,,,,Colonel,,,Information System Services Networks,9
,,,,,Lt Colonel,,,Information System Services Networks,18
,,,,,Major,,,Information System Services Networks,6
,,,,,Captain,,,Information System Services Networks,4
,,,,,Other Rank,,,Information System Services Networks,6
,,,,,Group Captain,,,Information System Services Networks,3
,,,,,Wing Commander,,,Information System Services Networks,14
,,,,,Squadron Leader,,,Information System Services Networks,6
,,,,,Flt Lieutenant,,,Information System Services Networks,5
,,,,,Flying Officer,,,Information System Services Networks,2
,,,,,Other Rank,,,Information System Services Networks,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,5163,Head ISS Programmes,B1,,,Information System Services Programmes,5
,,,,,B2,,,Information System Services Programmes,15
,,,,,C1,,,Information System Services Programmes,42
,,,,,C2,,,Information System Services Programmes,17
,,,,,D,,,Information System Services Programmes,6
,,,,,E1,,,Information System Services Programmes,2
,,,,,Commander,,,Information System Services Programmes,1
,,,,,Lt Commander,,,Information System Services Programmes,1
,,,,,Colonel,,,Information System Services Programmes,1
,,,,,Lt Colonel,,,Information System Services Programmes,1
,,,,,Major,,,Information System Services Programmes,1
,,,,,Other Rank,,,Information System Services Programmes,1
,,,,,Wing Commander,,,Information System Services Programmes,2
,,,,,Squadron Leader,,,Information System Services Programmes,1
,,,,,Flt Lieutenant,,,Information System Services Programmes,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,4210,Head Bowman And Tactical Communication Information Systems,B1,,,Bowman And Tactical Communication Information Systems,5
,,,,,B2,,,Bowman And Tactical Communication Information Systems,11
,,,,,C1,,,Bowman And Tactical Communication Information Systems,37
,,,,,C2,,,Bowman And Tactical Communication Information Systems,28
,,,,,D,,,Bowman And Tactical Communication Information Systems,7
,,,,,E1,,,Bowman And Tactical Communication Information Systems,9
,,,,,Lieutenant,,,Bowman And Tactical Communication Information Systems,1
,,,,,Colonel,,,Bowman And Tactical Communication Information Systems,1
,,,,,Lt Colonel,,,Bowman And Tactical Communication Information Systems,5
,,,,,Major,,,Bowman And Tactical Communication Information Systems,15
,,,,,Captain,,,Bowman And Tactical Communication Information Systems,1
,,,,,Other Rank,,,Bowman And Tactical Communication Information Systems,28
,,,,,Squadron Leader,,,Bowman And Tactical Communication Information Systems,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,33010,Head ISS Service Operations,B1,,,Information System Services Service Operations,1
,,,,,B2,,,Information System Services Service Operations,5
,,,,,C1,,,Information System Services Service Operations,33
,,,,,C2,,,Information System Services Service Operations,44
,,,,,D,,,Information System Services Service Operations,29
,,,,,E1,,,Information System Services Service Operations,10
,,,,,SZ1,,,Information System Services Service Operations,1
,,,,,SZ2,,,Information System Services Service Operations,1
,,,,,SZ4,,,Information System Services Service Operations,1
,,,,,Captain,,,Information System Services Service Operations,1
,,,,,Commander,,,Information System Services Service Operations,3
,,,,,Lt Commander,,,Information System Services Service Operations,6
,,,,,Lieutenant,,,Information System Services Service Operations,8
,,,,,Sub Lieutenant,,,Information System Services Service Operations,1
,,,,,Other Rank,,,Information System Services Service Operations,15
,,,,,Colonel,,,Information System Services Service Operations,2
,,,,,Lt Colonel,,,Information System Services Service Operations,2
,,,,,Major,,,Information System Services Service Operations,6
,,,,,Captain,,,Information System Services Service Operations,5
,,,,,Other Rank,,,Information System Services Service Operations,16
,,,,,Wing Commander,,,Information System Services Service Operations,4
,,,,,Squadron Leader,,,Information System Services Service Operations,11
,,,,,Flt Lieutenant,,,Information System Services Service Operations,12
,,,,,Other Rank,,,Information System Services Service Operations,67
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,33013,Head Network Technical Authority,B1,,,Network Technical Authority,2
,,,,,B2,,,Network Technical Authority,6
,,,,,C1,,,Network Technical Authority,28
,,,,,C2,,,Network Technical Authority,8
,,,,,D,,,Network Technical Authority,2
,,,,,E1,,,Network Technical Authority,1
,,,,,Lt Commander,,,Network Technical Authority,3
,,,,,Colonel,,,Network Technical Authority,2
,,,,,Lt Colonel,,,Network Technical Authority,2
,,,,,Major,,,Network Technical Authority,2
,,,,,Other Rank,,,Network Technical Authority,1
,,,,,Wing Commander,,,Network Technical Authority,3
,,,,,Squadron Leader,,,Network Technical Authority,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,34282,Head Applications Services Team,B1,,,Applications Services Team,7
,,,,,B2,,,Applications Services Team,13
,,,,,C1,,,Applications Services Team,49
,,,,,C2,,,Applications Services Team,52
,,,,,D,,,Applications Services Team,20
,,,,,E1,,,Applications Services Team,8
,,,,,Commander,,,Applications Services Team,1
,,,,,Lt Commander,,,Applications Services Team,1
,,,,,Lieutenant,,,Applications Services Team,1
,,,,,Other Rank,,,Applications Services Team,1
,,,,,Major,,,Applications Services Team,2
,,,,,Captain,,,Applications Services Team,1
,,,,,Other Rank,,,Applications Services Team,1
,,,,,Squadron Leader,,,Applications Services Team,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,180570,Head of Business (Helicopters),B1,,,Helicopters Combined Support Group,3
,,,,,B2,,,Helicopters Combined Support Group,6
,,,,,C1,,,Helicopters Combined Support Group,15
,,,,,C2,,,Helicopters Combined Support Group,14
,,,,,D,,,Helicopters Combined Support Group,9
,,,,,E1,,,Helicopters Combined Support Group,3
,,,,,Commander,,,Helicopters Combined Support Group,1
,,,,,Lt Commander,,,Helicopters Combined Support Group,3
,,,,,Lt Colonel,,,Helicopters Combined Support Group,3
,,,,,Wing Commander,,,Helicopters Combined Support Group,3
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,173860,Head of Commercial,B1,,,Commercial Helicopters,2
,,,,,C1,,,Commercial Helicopters,2
,,,,,D,,,Commercial Helicopters,2
,,,,,E1,,,Commercial Helicopters,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,49490,Head of Helicopters 3,B1,,,Helicopters Delivery Team 3,2
,,,,,B2,,,Helicopters Delivery Team 3,10
,,,,,C1,,,Helicopters Delivery Team 3,31
,,,,,C2,,,Helicopters Delivery Team 3,47
,,,,,D,,,Helicopters Delivery Team 3,29
,,,,,E1,,,Helicopters Delivery Team 3,13
,,,,,Commander,,,Helicopters Delivery Team 3,2
,,,,,Lt Commander,,,Helicopters Delivery Team 3,4
,,,,,Lieutenant,,,Helicopters Delivery Team 3,3
,,,,,Other Rank,,,Helicopters Delivery Team 3,4
,,,,,Colonel,,,Helicopters Delivery Team 3,1
,,,,,Lt Colonel,,,Helicopters Delivery Team 3,4
,,,,,Major,,,Helicopters Delivery Team 3,8
,,,,,Captain,,,Helicopters Delivery Team 3,1
,,,,,Other Rank,,,Helicopters Delivery Team 3,23
,,,,,Group Captain,,,Helicopters Delivery Team 3,1
,,,,,Wing Commander,,,Helicopters Delivery Team 3,1
,,,,,Squadron Leader,,,Helicopters Delivery Team 3,1
,,,,,Flt Lieutenant,,,Helicopters Delivery Team 3,3
,,,,,Other Rank,,,Helicopters Delivery Team 3,5
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,139595,Head of Helicopters 2            ,B1,,,Helicopters Delivery Team 2  ,4
,,,,,B2,,,Helicopters Delivery Team 2  ,14
,,,,,C1,,,Helicopters Delivery Team 2  ,51
,,,,,C2,,,Helicopters Delivery Team 2  ,54
,,,,,D,,,Helicopters Delivery Team 2  ,30
,,,,,E1,,,Helicopters Delivery Team 2  ,31
,,,,,SZ2,,,Helicopters Delivery Team 3,8
,,,,,SZ3,,,Helicopters Delivery Team 4,4
,,,,,Commander,,,Helicopters Delivery Team 2  ,2
,,,,,Lt Commander,,,Helicopters Delivery Team 2  ,1
,,,,,Lieutenant,,,Helicopters Delivery Team 2  ,4
,,,,,Other Rank,,,Helicopters Delivery Team 2  ,1
,,,,,Colonel,,,Helicopters Delivery Team 2  ,1
,,,,,Lt Colonel,,,Helicopters Delivery Team 2  ,1
,,,,,Major,,,Helicopters Delivery Team 2  ,3
,,,,,Other Rank,,,Helicopters Delivery Team 2  ,10
,,,,,Group Captain,,,Helicopters Delivery Team 2  ,1
,,,,,Wing Commander,,,Helicopters Delivery Team 2  ,3
,,,,,Squadron Leader,,,Helicopters Delivery Team 2  ,14
,,,,,Flt Lieutenant,,,Helicopters Delivery Team 2  ,5
,,,,,Other Rank,,,Helicopters Delivery Team 2  ,21
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,51324,Head of Helicopters 1,B1,,,Helicopters Delivery Team 1,3
,,,,,B2,,,Helicopters Delivery Team 1,18
,,,,,C1,,,Helicopters Delivery Team 1,59
,,,,,C2,,,Helicopters Delivery Team 1,74
,,,,,D,,,Helicopters Delivery Team 1,36
,,,,,E1,,,Helicopters Delivery Team 1,31
,,,,,Captain,,,Helicopters Delivery Team 1,1
,,,,,Commander,,,Helicopters Delivery Team 1,5
,,,,,Lt Commander,,,Helicopters Delivery Team 1,15
,,,,,Lieutenant,,,Helicopters Delivery Team 1,12
,,,,,Other Rank,,,Helicopters Delivery Team 1,18
,,,,,Major,,,Helicopters Delivery Team 1,1
,,,,,Captain,,,Helicopters Delivery Team 1,3
,,,,,Other Rank,,,Helicopters Delivery Team 1,11
,,,,,Wing Commander,,,Helicopters Delivery Team 1,1
,,,,,Squadron Leader,,,Helicopters Delivery Team 1,7
,,,,,Flt Lieutenant,,,Helicopters Delivery Team 1,3
,,,,,Other Rank,,,Helicopters Delivery Team 1,17
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,51335,Director Combat Air,B1,,,Combat Air Combined Support Group,5
,,,,,C1,,,Combat Air Combined Support Group,4
,,,,,C2,,,Combat Air Combined Support Group,2
,,,,,D,,,Combat Air Combined Support Group,3
,,,,,E1,,,Combat Air Combined Support Group,4
,,,,,Wing Commander,,,Combat Air Combined Support Group,2
,,,,,Squadron Leader,,,Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,172154,Head of Commercial Combat Air,B2,,,Commercial Combat Air,1
,,,,,C1,,,Commercial Combat Air,3
,,,,,C2,,,Commercial Combat Air,3
,,,,,D,,,Commercial Combat Air,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,153535,Head Combat Air Business Industrial Strategy,B1,,,Combat Air Business Industrial Strategy,3
,,,,,B2,,,Combat Air Business Industrial Strategy,1
,,,,,C1,,,Combat Air Business Industrial Strategy,9
,,,,,C2,,,Combat Air Business Industrial Strategy,2
,,,,,D,,,Combat Air Business Industrial Strategy,1
,,,,,E1,,,Combat Air Business Industrial Strategy,1
,,,,,Captain,,,Combat Air Business Industrial Strategy,1
,,,,,Commander,,,Combat Air Business Industrial Strategy,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,1781,Head of Flying Training Support,B1,,,Flying Training Support,3
,,,,,B2,,,Flying Training Support,7
,,,,,C1,,,Flying Training Support,34
,,,,,C2,,,Flying Training Support,23
,,,,,D,,,Flying Training Support,8
,,,,,E1,,,Flying Training Support,6
,,,,,Captain,,,Flying Training Support,1
,,,,,Lt Commander,,,Flying Training Support,1
,,,,,Major,,,Flying Training Support,1
,,,,,Wing Commander,,,Flying Training Support,5
,,,,,Squadron Leader,,,Flying Training Support,4
,,,,,Flt Lieutenant,,,Flying Training Support,2
,,,,,Other Rank,,,Flying Training Support,7
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,179189,Head of Harrier Survival Tornado & Safety Equipment,B1,,,Harrier Survival Tornado & Safety Enviroment,2
,,,,,B2,,,Harrier Survival Tornado & Safety Enviroment,10
,,,,,C1,,,Harrier Survival Tornado & Safety Enviroment,51
,,,,,C2,,,Harrier Survival Tornado & Safety Enviroment,69
,,,,,D,,,Harrier Survival Tornado & Safety Enviroment,38
,,,,,E1,,,Harrier Survival Tornado & Safety Enviroment,44
,,,,,Captain,,,Harrier Survival Tornado & Safety Enviroment,1
,,,,,Commander,,,Harrier Survival Tornado & Safety Enviroment,2
,,,,,Lt Commander,,,Harrier Survival Tornado & Safety Enviroment,4
,,,,,Lieutenant,,,Harrier Survival Tornado & Safety Enviroment,4
,,,,,Other Rank,,,Harrier Survival Tornado & Safety Enviroment,8
,,,,,Other Rank,,,Harrier Survival Tornado & Safety Enviroment,2
,,,,,Group Captain,,,Harrier Survival Tornado & Safety Enviroment,2
,,,,,Wing Commander,,,Harrier Survival Tornado & Safety Enviroment,10
,,,,,Squadron Leader,,,Harrier Survival Tornado & Safety Enviroment,20
,,,,,Flt Lieutenant,,,Harrier Survival Tornado & Safety Enviroment,10
,,,,,Other Rank,,,Harrier Survival Tornado & Safety Enviroment,82
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,5299,Head of Joint Combat Aircraft  ,B1,,,Joint Combat Aircraft  ,3
,,,,,B2,,,Joint Combat Aircraft  ,9
,,,,,C1,,,Joint Combat Aircraft  ,28
,,,,,C2,,,Joint Combat Aircraft  ,36
,,,,,D,,,Joint Combat Aircraft  ,6
,,,,,E1,,,Joint Combat Aircraft  ,3
,,,,,Captain,,,Joint Combat Aircraft  ,1
,,,,,Commander,,,Joint Combat Aircraft  ,4
,,,,,Lt Commander,,,Joint Combat Aircraft  ,6
,,,,,Lieutenant,,,Joint Combat Aircraft  ,4
,,,,,Other Rank,,,Joint Combat Aircraft  ,4
,,,,,Major,,,Joint Combat Aircraft  ,2
,,,,,Other Rank,,,Joint Combat Aircraft  ,2
,,,,,Group Captain,,,Joint Combat Aircraft  ,1
,,,,,Wing Commander,,,Joint Combat Aircraft  ,2
,,,,,Squadron Leader,,,Joint Combat Aircraft  ,8
,,,,,Flt Lieutenant,,,Joint Combat Aircraft  ,6
,,,,,Other Rank,,,Joint Combat Aircraft  ,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,47,Head of Typhoon  ,B1,,,Typhoon  ,5
,,,,,B2,,,Typhoon  ,12
,,,,,C1,,,Typhoon  ,51
,,,,,C2,,,Typhoon  ,46
,,,,,D,,,Typhoon  ,19
,,,,,E1,,,Typhoon  ,16
,,,,,Other Rank,,,Typhoon  ,2
,,,,,Group Captain,,,Typhoon  ,2
,,,,,Wing Commander,,,Typhoon  ,9
,,,,,Squadron Leader,,,Typhoon  ,20
,,,,,Flt Lieutenant,,,Typhoon  ,12
,,,,,Other Rank,,,Typhoon  ,37
