Parent Department,Organisation,Unit,Reporting SCS post reference,Reporting SCS Post title,Grade,Payscale minimum,Payscale maximum,Generic job title,Number of such posts in FTE
,,,,,Squadron Leader,,,Defence Support Chain Operations & Movements,10
,,,,,Flt Lieutenant,,,Defence Support Chain Operations & Movements,10
,,,,,Other Rank,,,Defence Support Chain Operations & Movements,27
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,18629,Head Defence Fuels Group,B1,,,Defence Fuels Group,1
,,,,,B2,,,Defence Fuels Group,3
,,,,,C1,,,Defence Fuels Group,11
,,,,,C2,,,Defence Fuels Group,17
,,,,,D,,,Defence Fuels Group,28
,,,,,E1,,,Defence Fuels Group,21
,,,,,SZ2,,,Defence Fuels Group,44
,,,,,SZ3,,,Defence Fuels Group,20
,,,,,Lieutenant,,,Defence Fuels Group,1
,,,,,Lt Colonel,,,Defence Fuels Group,2
,,,,,Major,,,Defence Fuels Group,3
,,,,,Captain,,,Defence Fuels Group,1
,,,,,Other Rank,,,Defence Fuels Group,5
,,,,,Group Captain,,,Defence Fuels Group,1
,,,,,Wing Commander,,,Defence Fuels Group,2
,,,,,Squadron Leader,,,Defence Fuels Group,1
,,,,,Flt Lieutenant,,,Defence Fuels Group,2
,,,,,Other Rank,,,Defence Fuels Group,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,18631,Head of Logistic Commodities,B1,,,Logistic Commodities,2
,,,,,B2,,,Logistic Commodities,10
,,,,,C1,,,Logistic Commodities,41
,,,,,C2,,,Logistic Commodities,83
,,,,,D,,,Logistic Commodities,77
,,,,,E1,,,Logistic Commodities,75
,,,,,SZ1,,,Logistic Commodities,18
,,,,,SZ2,,,Logistic Commodities,3
,,,,,Captain,,,Logistic Commodities,1
,,,,,Commander,,,Logistic Commodities,1
,,,,,Lt Commander,,,Logistic Commodities,1
,,,,,Lieutenant,,,Logistic Commodities,2
,,,,,Other Rank,,,Logistic Commodities,2
,,,,,Colonel,,,Logistic Commodities,2
,,,,,Lt Colonel,,,Logistic Commodities,5
,,,,,Major,,,Logistic Commodities,9
,,,,,Captain,,,Logistic Commodities,1
,,,,,Other Rank,,,Logistic Commodities,11
,,,,,Squadron Leader,,,Logistic Commodities,4
,,,,,Other Rank,,,Logistic Commodities,3
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,105258,Head Disposal Services Authority,B1,,,Disposal Services Agency,3
,,,,,C1,,,Disposal Services Agency,12
,,,,,C2,,,Disposal Services Agency,20
,,,,,D,,,Disposal Services Agency,20
,,,,,E1,,,Disposal Services Agency,24
,,,,,Commander,,,Disposal Services Agency,1
,,,,,Lt Commander,,,Disposal Services Agency,2
,,,,,Other Rank,,,Disposal Services Agency,1
,,,,,Other Rank,,,Disposal Services Agency,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,21000,Head of British Forces Post Office,C1,,,British Forces Post Office,31
,,,,,C2,,,British Forces Post Office,9
,,,,,D,,,British Forces Post Office,28
,,,,,E1,,,British Forces Post Office,157
,,,,,SZ1,,,British Forces Post Office,2
,,,,,SZ2,,,British Forces Post Office,8
,,,,,Lieutenant,,,British Forces Post Office,1
,,,,,Other Rank,,,British Forces Post Office,2
,,,,,Colonel,,,British Forces Post Office,2
,,,,,Lt Colonel,,,British Forces Post Office,4
,,,,,Major,,,British Forces Post Office,3
,,,,,Captain,,,British Forces Post Office,3
,,,,,Other Rank,,,British Forces Post Office,110
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,179865,Head Logistics Network Enabled Capability Programme,B1,,,Logistics Network Enabled Capability Programme,3
,,,,,B2,,,Logistics Network Enabled Capability Programme,15
,,,,,C1,,,Logistics Network Enabled Capability Programme,65
,,,,,C2,,,Logistics Network Enabled Capability Programme,180
,,,,,D,,,Logistics Network Enabled Capability Programme,157
,,,,,E1,,,Logistics Network Enabled Capability Programme,81
,,,,,SZ1,,,Logistics Network Enabled Capability Programme,1
,,,,,SZ2,,,Logistics Network Enabled Capability Programme,1
,,,,,Captain,,,Logistics Network Enabled Capability Programme,1
,,,,,Commander,,,Logistics Network Enabled Capability Programme,4
,,,,,Lt Commander,,,Logistics Network Enabled Capability Programme,10
,,,,,Lieutenant,,,Logistics Network Enabled Capability Programme,1
,,,,,Other Rank,,,Logistics Network Enabled Capability Programme,20
,,,,,Colonel,,,Logistics Network Enabled Capability Programme,1
,,,,,Lt Colonel,,,Logistics Network Enabled Capability Programme,14
,,,,,Major,,,Logistics Network Enabled Capability Programme,19
,,,,,Captain,,,Logistics Network Enabled Capability Programme,2
,,,,,Other Rank,,,Logistics Network Enabled Capability Programme,100
,,,,,Wing Commander,,,Logistics Network Enabled Capability Programme,6
,,,,,Squadron Leader,,,Logistics Network Enabled Capability Programme,20
,,,,,Flt Lieutenant,,,Logistics Network Enabled Capability Programme,15
,,,,,Flying Officer,,,Logistics Network Enabled Capability Programme,5
,,,,,Other Rank,,,Logistics Network Enabled Capability Programme,84
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,170311,Chief of Materiel (Fleet),D,,,Executive Assistant,1
,,,,,Commander,,,Military Assistant,1
,,,,,Lieutenant,,,Assistant Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,170310,Chief of Materiel (Land),D,,,Executive Assistant,1
,,,,,Lt Colonel,,,Military Assistant,1
,,,,,Major,,,Assistant Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,172101,Chief of Materiel (Air),D,,,Executive Assistant,1
,,,,,Wing Commander,,,Military Assistant,1
,,,,,Squadron Leader,,,Assistant Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,180876,Head of Sustainable Procurement,B1,,,Sustainable Procurement,1
,,,,,C1,,,Sustainable Procurement,4
,,,,,Group Captain,,,Sustainable Procurement,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9190,Head of Infrastructure,B1,,,Infrastructure,3
,,,,,B2,,,Infrastructure,5
,,,,,C1,,,Infrastructure,18
,,,,,C2,,,Infrastructure,29
,,,,,D,,,Infrastructure,27
,,,,,E1,,,Infrastructure,34
,,,,,SZ1,,,Infrastructure,3
,,,,,SZ2,,,Infrastructure,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9474,Head of Equipment Support Continuous Improvement Team,B1,,,Equipment Support Continuous Improvement Team,1
,,,,,B2,,,Equipment Support Continuous Improvement Team,7
,,,,,C1,,,Equipment Support Continuous Improvement Team,41
,,,,,C2,,,Equipment Support Continuous Improvement Team,4
,,,,,D,,,Equipment Support Continuous Improvement Team,1
,,,,,E1,,,Equipment Support Continuous Improvement Team,5
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,178,Head of International Relations ,B1,,,International Relations ,1
,,,,,B2,,,International Relations ,3
,,,,,C1,,,International Relations ,5
,,,,,C2,,,International Relations ,1
,,,,,D,,,International Relations ,1
,,,,,E1,,,International Relations ,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,3321,Director Safety & Engineering,B2,,,Land Systems,2
,,,,,C1,,,Land Systems,10
,,,,,C2,,,Land Systems,8
,,,,,D,,,Land Systems,1
,,,,,E1,,,Land Systems,1
,,,,,Lt Colonel,,,Land Systems,2
,,,,,Major,,,Land Systems,2
,,,,,Captain,,,Land Systems,1
,,,,,Other Rank,,,Land Systems,17
,,,,,B1,,,Defence Standards,1
,,,,,B2,,,Defence Standards,2
,,,,,C1,,,Defence Standards,7
,,,,,C2,,,Defence Standards,11
,,,,,D,,,Defence Standards,1
,,,,,E1,,,Defence Standards,4
,,,,,B1,,,Business Systems Grp,1
,,,,,B2,,,Business Systems Grp,5
,,,,,C1,,,Business Systems Grp,6
,,,,,C2,,,Business Systems Grp,9
,,,,,D,,,Business Systems Grp,4
,,,,,E1,,,Business Systems Grp,2
,,,,,Lt Colonel,,,Business Systems Grp,1
,,,,,Lt Colonel,,,Military Assistant,1
,,,,,D,,,Executive Assistant,1
,,,,,B1,,,Defence Quality Assurance,1
,,,,,B2,,,Defence Quality Assurance,4
,,,,,C1,,,Defence Quality Assurance,24
,,,,,C2,,,Defence Quality Assurance,35
,,,,,D,,,Defence Quality Assurance,11
,,,,,E1,,,Defence Quality Assurance,14
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,114,Head of Defence Nuclear Safety Regulator,B1,,,Defence Nuclear Safety Regulator,2
,,,,,B2,,,Defence Nuclear Safety Regulator,5
,,,,,C1,,,Defence Nuclear Safety Regulator,9
,,,,,D,,,Defence Nuclear Safety Regulator,1
,,,,,E1,,,Defence Nuclear Safety Regulator,2
,,,,,Commander,,,Defence Nuclear Safety Regulator,2
,,,,,Lt Commander,,,Defence Nuclear Safety Regulator,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,179064,Head of Systems Engineering & Integration Group,B1,,,Systems Engineering & Integration Group,6
,,,,,B2,,,Systems Engineering & Integration Group,8
,,,,,C1,,,Systems Engineering & Integration Group,34
,,,,,C2,,,Systems Engineering & Integration Group,23
,,,,,D,,,Systems Engineering & Integration Group,23
,,,,,E1,,,Systems Engineering & Integration Group,12
,,,,,SZ2,,,Systems Engineering & Integration Group,2
,,,,,Commander,,,Systems Engineering & Integration Group,2
,,,,,Lt Commander,,,Systems Engineering & Integration Group,2
,,,,,Other Rank,,,Systems Engineering & Integration Group,2
,,,,,Lt Colonel,,,Systems Engineering & Integration Group,1
,,,,,Major,,,Systems Engineering & Integration Group,2
,,,,,Other Rank,,,Systems Engineering & Integration Group,16
,,,,,Wing Commander,,,Systems Engineering & Integration Group,1
,,,,,Squadron Leader,,,Systems Engineering & Integration Group,1
,,,,,Flt Lieutenant,,,Systems Engineering & Integration Group,3
,,,,,Other Rank,,,Systems Engineering & Integration Group,11
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,2691,Head of Sea Systems,B1,,,Sea Systems,5
,,,,,B2,,,Sea Systems,13
,,,,,C1,,,Sea Systems,21
,,,,,C2,,,Sea Systems,17
,,,,,D,,,Sea Systems,2
,,,,,E1,,,Sea Systems,10
,,,,,Captain,,,Sea Systems,1
,,,,,Commander,,,Sea Systems,2
,,,,,Lt Commander,,,Sea Systems,2
,,,,,Lieutenant,,,Sea Systems,1
,,,,,Other Rank,,,Sea Systems,3
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,172010,Head of Safety & Environment Protection,B1,,,Safety & Environment Protection,1
,,,,,B2,,,Safety & Environment Protection,2
,,,,,C1,,,Safety & Environment Protection,13,
,,,,,C2,,,Safety & Environment Protection,11,
,,,,,D,,,Safety & Environment Protection,4,
,,,,,E1,,,Safety & Environment Protection,4,
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,1,Director Human Resources,Apprentices,,,Apprentices,160,#REF!
,,,,,C1,,,Staff Officer,1,
,,,,,D,,,Executive Assistant,1,
,,,,,B2,,,Equipment & Support Development,1,
,,,,,C1,,,Equipment & Support Development,5,
,,,,,Commander,,,Equipment & Support Development,1,
,,,,,B2,,,HR Plans,1,
,,,,,D,,,HR Plans,1,
,,,,,E1,,,HR Plans,1,
,,,,,C1,,,Trades Union Reps,3,
,,,,,C2,,,Trades Union Reps,3,
,,,,,D,,,Trades Union Reps,2,
,,,,,Lieutenant,,,Air People Team,1
,,,,,C1,,,Redeployment Pool,2
,,,,,C2,,,Redeployment Pool,2
,,,,,B1,,,Secondments,1
,,,,,B2,,,Secondments,2
,,,,,C1,,,Secondments,3
,,,,,C2,,,Secondments,2
,,,,,D,,,Secondments,3
,,,,,E1,,,Secondments,3
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,169927,Head of Human Resources Ops,B1,,,Human Resources Ops,3
,,,,,B2,,,Human Resources Ops,4
,,,,,C1,,,Human Resources Ops,17
,,,,,C2,,,Human Resources Ops,14
,,,,,D,,,Human Resources Ops,8
,,,,,E1,,,Human Resources Ops,10
,,,,,Commander,,,Human Resources Ops,2
,,,,,Lieutenant,,,Human Resources Ops,1
,,,,,Other Rank,,,Human Resources Ops,3
,,,,,Group Captain,,,Human Resources Ops,1
,,,,,Wing Commander,,,Human Resources Ops,1
,,,,,Squadron Leader,,,Human Resources Ops,1
,,,,,Other Rank,,,Human Resources Ops,3
,,,,,Lt Colonel,,,Human Resources Ops,1
,,,,,Other Rank,,,Human Resources Ops,5
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,170815,Head of Human Resources Plans,B1,,,Human Resources Plans,3
,, ,,,B2,,,Human Resources Plans,5
,,,,,C1,,,Human Resources Plans,14
,,,,,C2,,,Human Resources Plans,17
,,,,,D,,,Human Resources Plans,4
,,,,,E1,,,Human Resources Plans,8
,,,,,Lt Colonel,,,Human Resources Plans,1
,,,,,Major,,,Human Resources Plans,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,115147,Head Commercial Project Enabling Team,B1,,,Commercial Project Enabling Team,2
,,,,,B2,,,Commercial Project Enabling Team,5
,,,,,C1,,,Commercial Project Enabling Team,29
,,,,,C2,,,Commercial Project Enabling Team,19
,,,,,D,,,Commercial Project Enabling Team,20
,,,,,E1,,,Commercial Project Enabling Team,9
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,159581,Head of Cost Assurance & Analysis ,B1,,,Head of Cost Assurance & Analysis ,7
,,,,,B2,,,Head of Cost Assurance & Analysis ,30
,,,,,C1,,,Head of Cost Assurance & Analysis ,127
,,,,,C2,,,Head of Cost Assurance & Analysis ,110
,,,,,D,,,Head of Cost Assurance & Analysis ,34
,,,,,E1,,,Head of Cost Assurance & Analysis ,17
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,184584,Head of Commercial Operations & Plans,B1,,,Commercial Operations & Plans,1
,,,,,B2,,,Commercial Operations & Plans,9
,,,,,C1,,,Commercial Operations & Plans,1
,,,,,C2,,,Commercial Operations & Plans,1
,,,,,D,,,Commercial Operations & Plans,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,18626,"Head of Commercial, Commands & Centre",B1,,,"Commercial, Commands & Centre",2
,,,,,B2,,,"Commercial, Commands & Centre",3
,,,,,C1,,,"Commercial, Commands & Centre",7
,,,,,C2,,,"Commercial, Commands & Centre",11
,,,,,D,,,"Commercial, Commands & Centre",3
,,,,,E1,,,"Commercial, Commands & Centre",2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,291,Head of Supplier Relations Team,B1,,,Supplier Relations Team,4
,,,,,B2,,,Supplier Relations Team,5
,,,,,C1,,,Supplier Relations Team,19
,,,,,C2,,,Supplier Relations Team,2
,,,,,D,,,Supplier Relations Team,4
,,,,,E1,,,Supplier Relations Team,4
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,170772,Director Commercial ,C1,,,Private Secretary,1
,,,,,C2,,,Assistant Private Secretary,1
,,,,,D,,,Executive Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9005,Chief Corporate Services,C1,,,Private Secretary,1
,,,,,D,,,Executive Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9105,Head Defence Logistic Operations,C1,,,Log Ops - Operations and Plans,1
,,,,,D,,,Log Ops - Operations and Plans,1
,,,,,Captain RN,,,Log Ops - Operations and Plans,1
,,,,,Commander,,,Log Ops - Operations and Plans,2
,,,,,Lt Commander,,,Log Ops - Operations and Plans,2
,,,,,Colonel,,,Log Ops - Operations and Plans,1
,,,,,Lt Colonel,,,Log Ops - Operations and Plans,2
,,,,,Major,,,Log Ops - Operations and Plans,3
,,,,,Wing Commander,,,Log Ops - Operations and Plans,2
,,,,,Squadron Leader,,,Log Ops - Operations and Plans,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9155,Head Defence Logistics Policy,B1,,,Log Ops - Policy,2
,,,,,B2,,,Log Ops - Policy,3
,,,,,C1,,,Log Ops - Policy,12
,,,,,C2,,,Log Ops - Policy,4
,,,,,D,,,Log Ops - Policy,4
,,,,,E1,,,Log Ops - Policy,3
,,,,,Commander,,,Log Ops - Policy,3
,,,,,Lt Commander,,,Log Ops - Policy,9
,,,,,Lt Colonel,,,Log Ops - Policy,7
,,,,,Major,,,Log Ops - Policy,4
,,,,,Other Rank,,,Log Ops - Policy,3
,,,,,Wing Commander,,,Log Ops - Policy,5
,,,,,Squadron Leader,,,Log Ops - Policy,4
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,168617,Head of Business Change Team,B1,,,Business Change Team,4
,,,,,B2,,,Business Change Team,4
,,,,,C1,,,Business Change Team,13
,,,,,C2,,,Business Change Team,1
,,,,,D,,,Business Change Team,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,115151,Head of Collocation Team,B1,,,Collocation Team,2
,,,,,B2,,,Collocation Team,6
,,,,,C1,,,Collocation Team,9
,,,,,C2,,,Collocation Team,10
,,,,,D,,,Collocation Team,6
,,,,,E1,,,Collocation Team,8
,,,,,Captain,,,Collocation Team,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,150079,Head of Plans & Programmes  ,B1,,,Plans & Programmes  ,1
,,,,,C1,,,Plans & Programmes  ,4
,,,,,C2,,,Plans & Programmes  ,2
,,,,,D,,,Plans & Programmes  ,1
,,,,,Captain,,,Plans & Programmes  ,1
,,,,,Commander,,,Plans & Programmes  ,1
,,,,,Lt Commander,,,Plans & Programmes  ,1
,,,,,Colonel,,,Plans & Programmes  ,3
,,,,,Lt Colonel,,,Plans & Programmes  ,1
,,,,,Major,,,Plans & Programmes  ,1
,,,,,Group Captain,,,Plans & Programmes  ,1
,,,,,Wing Commander,,,Plans & Programmes  ,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9028,Head of Secretariat & Communications,B1,,,Secretariat & Communications,2
,,,,,B2,,,Secretariat & Communications,6
,,,,,C1,,,Secretariat & Communications,18
,,,,,C2,,,Secretariat & Communications,25
,,,,,D,,,Secretariat & Communications,14
,,,,,E1,,,Secretariat & Communications,12
,,,,,Wing Commander,,,Secretariat & Communications,2
,,,,,Other Rank,,,Secretariat & Communications,2
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,43,Head of Corporate Approvals Performance and Risk,B1,,,"Corporate Performance, Approvals & Risk ",1
,,,,,B2,,,"Corporate Performance, Approvals & Risk ",2
,,,,,C1,,,"Corporate Performance, Approvals & Risk ",14
,,,,,C2,,,"Corporate Performance, Approvals & Risk ",4
,,,,,E1,,,"Corporate Performance, Approvals & Risk ",1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,3323,Director Finance,B1,,,Finance Professionalism,1
,,,,,B2,,,Finance Professionalism,1
,,,,,C1,,,Finance Professionalism,4
,,,,,C2,,,Finance Professionalism,7
,,,,,D,,,Finance Professionalism,3
,,,,,E1,,,Finance Professionalism,2
,,,,,C1,,,Staff Officer,1
,,,,,B1,,,Financial Assurance and Governance,1
,,,,,B2,,,Financial Assurance and Governance,2
,,,,,C1,,,Financial Assurance and Governance,13
,,,,,C2,,,Financial Assurance and Governance,5
,,,,,D,,,Financial Assurance and Governance,1
,,,,,E1,,,Financial Assurance and Governance,1
,,,,,D,,,Trainee Accountants,38
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,148725,Head of Financial Accounting,B1,,,Financial Accounting,1
,,,,,B2,,,Financial Accounting,7
,,,,,C1,,,Financial Accounting,19
,,,,,C2,,,Financial Accounting,46
,,,,,D,,,Financial Accounting,41
,,,,,E1,,,Financial Accounting,24
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,183883,Head of Management Accountant,B1,,,Management Accounting,1
,,,,,B2,,,Management Accounting,4
,,,,,C1,,,Management Accounting,11
,,,,,C2,,,Management Accounting,10
,,,,,D,,,Management Accounting,4
,,,,,E1,,,Management Accounting,4
,,,,,Wing Commander,,,Management Accounting,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9000,Chief of Defence Materiel,B2,,,Private Secretary,1
,,,,,D,,,Assistant Private Secretary,2
,,,,,Commander,,,Military Assistant,1
,,,,,Captain,,,Assistant Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,175112,Director Change,D,,,Executive Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,168616,Chief Of Staff,C1,,,Private Secretary,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,9102,Assistant Chief of Defence Staff (Logistic Operations),D,,,Executive Assistant,1
,,,,,Squadron Leader,,,Military Assistant,1
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,18623,Director Jont Support Chain  ,Locally Engaged Civilian,,,Locally Engaged Civilian,263
Ministry of Defence,Defence Equipment & Support,Defence Equipment & Support,1135585,Director Information Systems  ,Locally Engaged Civilian,,,Locally Engaged Civilian,22


,,,,,,,,MOD staff (MOD Civil Servants and UK Military),20493
,,,,,,,,Locally Employed Civilians,285
